Team,Season_Start,Season_End,Rk,Player,Salary
Atlanta Hawks,1990,1991,1,Moses Malone,2406000
Atlanta Hawks,1990,1991,2,Dominique Wilkins,2065000
Atlanta Hawks,1990,1991,3,Jon Koncak,1550000
Atlanta Hawks,1990,1991,4,Doc Rivers,895000
Atlanta Hawks,1990,1991,5,Rumeal Robinson,800000
Atlanta Hawks,1990,1991,6,Tim McCormick,775000
Atlanta Hawks,1990,1991,7,Kevin Willis,685000
Atlanta Hawks,1990,1991,8,Alexander Volkov,650000
Atlanta Hawks,1990,1991,9,John Battle,590000
Atlanta Hawks,1990,1991,10,Sidney Moncrief,510000
Atlanta Hawks,1990,1991,11,Spud Webb,510000
Atlanta Hawks,1990,1991,12,Gary Leonard,200000
Atlanta Hawks,1990,1991,13,Duane Ferrell,125000
Atlanta Hawks,1991,1992,1,Dominique Wilkins,3100000
Atlanta Hawks,1991,1992,2,Jon Koncak,2000000
Atlanta Hawks,1991,1992,3,Blair Rasmussen,1558000
Atlanta Hawks,1991,1992,4,Rumeal Robinson,1025000
Atlanta Hawks,1991,1992,5,Maurice Cheeks,1000000
Atlanta Hawks,1991,1992,6,Travis Mays,1000000
Atlanta Hawks,1991,1992,7,Stacey Augmon,875000
Atlanta Hawks,1991,1992,8,Kevin Willis,725000
Atlanta Hawks,1991,1992,9,Alexander Volkov,675000
Atlanta Hawks,1991,1992,10,Duane Ferrell,500000
Atlanta Hawks,1991,1992,11,Rodney Monroe,217000
Atlanta Hawks,1991,1992,12,Gary Leonard,130000
Atlanta Hawks,1991,1992,13,Paul Graham,125000
Atlanta Hawks,1992,1993,1,Dominique Wilkins,3500000
Atlanta Hawks,1992,1993,2,Jon Koncak,2450000
Atlanta Hawks,1992,1993,3,Kevin Willis,2425000
Atlanta Hawks,1992,1993,4,Blair Rasmussen,1988000
Atlanta Hawks,1992,1993,5,Roy Hinson,1250000
Atlanta Hawks,1992,1993,6,Travis Mays,1200000
Atlanta Hawks,1992,1993,7,Stacey Augmon,1138000
Atlanta Hawks,1992,1993,8,Adam Keefe,1000000
Atlanta Hawks,1992,1993,9,Duane Ferrell,825000
Atlanta Hawks,1992,1993,10,Mookie Blaylock,660000
Atlanta Hawks,1992,1993,11,Maurice Cheeks,600000
