date_time,WS_10_mean,WS_10_min,WS_10_max,WS_10_stdv,WS_40a_mean,WS_40a_min,WS_40a_max,WS_40a_stdv,WS_20_mean,WS_20_min,WS_20_max,WS_20_stdv,WD_20_mean,WD_20_min,WD_20_max,WD_20_stdv,WS_60_mean,WS_60_min,WS_60_max,WS_60_stdv,WD_60_mean,WD_60_min,WD_60_max,WD_60_stdv,Tair_mean,Tair_min,Tair_max,Tair_stdv,Tgrad_mean,Tgrad_min,Tgrad_max,Tgrad_stdv,Pbaro_mean,Pbaro_min,Pbaro_max,Pbaro_stdv,RH_mean,RH_min,RH_max,RH_stdv
2020-01-01 00:10:00,4.2626,3.0191,5.4999,0.4472,7.3577,6.7316,7.6614,0.2145,5.726,3.9325,6.4148,0.4195,100.52,85.72,111.02,3.955,7.9172,7.3409,8.2704,0.1531,97.22,93.82,100.72,1.864,16.33,16.28,16.45,0.0236,0.789,0.706,0.85,0.054000000000000006,983.4,983.3,983.5,0.0548,80.8,80.6,81.1,0.1188
2020-01-01 01:10:00,4.9064,3.6393,6.1201,0.4813,7.6552,7.0415,8.2812,0.207,6.7375,6.1045,7.3457,0.2408,94.62,88.62,99.82,1.577,8.2952,7.6507,8.8902,0.2466,92.82,89.92,95.92,1.061,16.13,16.01,16.25,0.0317,0.785,0.563,0.85,0.086,983.0,982.9,983.2,0.0527,82.5,82.3,82.8,0.1545
2020-01-01 02:10:00,3.9202,2.7089999999999996,4.8797,0.4286,6.7936,6.1118,7.6614,0.2963,5.3474,4.2428,6.4148,0.3463,100.02,88.02,114.92,3.4010000000000002,7.849,7.031000000000001,8.5803,0.2727,97.12,91.92,102.02,1.5390000000000001,15.75,15.64,15.88,0.0433,0.759,0.706,0.85,0.040999999999999995,982.7,982.5,982.8,0.0465,86.5,85.8,87.2,0.309
2020-01-01 03:10:00,3.6982,2.3988,4.8797,0.3839,6.8618,5.8018,7.9713,0.3756,5.1861,4.2428,6.1045,0.3184,95.32,83.32,104.92,3.091,8.2828,6.7211,8.8902,0.34700000000000003,95.52,90.82,100.82,1.1740000000000002,15.67,15.58,15.78,0.0364,1.136,1.065,1.137,0.005,982.0,981.9,982.1,0.0489,89.5,88.3,90.1,0.4886
2020-01-01 04:10:00,4.0969999999999995,2.3988,5.1898,0.4534,7.8659,7.0415,8.5912,0.251,5.757000000000001,4.8634,6.7251,0.3444,95.32,85.22,106.02,3.068,9.0575,8.5803,9.5099,0.1735,98.32,96.32,100.32,0.8079999999999999,15.59,15.44,15.78,0.0762,1.422,1.317,1.46,0.016,981.7,981.6,981.8,0.0387,90.0,89.3,90.9,0.5682
2020-01-01 05:10:00,4.4412,3.3292,5.81,0.4776,8.0333,7.6614,8.5912,0.2095,6.0487,4.8634,7.0354,0.4009,103.42,92.32,120.02,3.197,8.5493,7.9606,8.8902,0.2212,102.02,100.72,104.02,0.965,15.7,15.61,15.78,0.0381,1.1,0.922,1.137,0.062,981.7,981.6,981.8,0.0427,91.5,91.3,91.7,0.069
2020-01-01 06:10:00,3.3992,2.0887,4.8797,0.5216,6.087000000000001,4.8721,7.0415,0.4804,4.527,3.312,5.7942,0.5169,103.22,81.42,115.62,4.873,7.2417,6.4113,8.5803,0.3762,103.12,97.52,109.12,1.766,15.4,15.3,15.51,0.0583,0.49700000000000005,0.276,0.563,0.091,982.1,982.0,982.2,0.0465,95.2,94.5,95.9,0.3111
2020-01-01 07:10:00,4.0114,2.3988,6.1201,0.7114,5.3493,3.3224,7.0415,0.7271,4.5388,2.3811,6.4148,0.7447,101.82,84.02,129.52,7.068,5.9527,3.9324,7.3409,0.7158,101.02,84.52,115.62,5.381,15.64,15.53,15.7,0.0263,-0.569,-0.653,-0.439,0.039,982.5,982.4,982.7,0.0572,97.0,96.6,97.5,0.1871
2020-01-01 08:10:00,5.4317,3.6393,7.3605,0.8429,6.9176,5.4919,8.9011,0.7221,6.2411,4.2428,8.2765,0.8545,100.62,72.82,131.42,9.41,7.0248,5.4817,9.8197,0.8168,104.62,90.62,117.62,6.278,16.67,16.52,16.83,0.084,-0.902,-1.1159999999999999,-0.867,0.071,982.6,982.5,982.7,0.0429,89.9,88.3,91.7,0.813
2020-01-01 09:10:00,6.0333,3.3292,8.6009,1.1548,7.2771,4.2522,9.8309,1.1356,6.7748,3.9325,9.5177,1.135,104.12,70.22,129.72,9.83,7.3533,4.5521,9.8197,1.0219,106.12,78.82,131.42,7.888,18.14,17.88,18.32,0.0902,-1.158,-1.5430000000000001,-0.653,0.24600000000000002,982.2,982.1,982.4,0.0581,76.9,74.88,79.57,1.097
