LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_MIN,WS10M,WS50M,T2M_MAX,QV2M,WS50M_MAX,PRECTOT,T2M,WS10M_RANGE,T2M_MIN,WS10M_MAX,ALLSKY_SFC_SW_DWN,T2MDEW,PS,RH2M,WS50M_MIN,WS2M
4.03161,9.21461,2021,01,01,    3.28,    0.95,    1.96,    2.75,   29.10,   19.04,    4.17,    0.01,   26.50,    1.54,   24.93,    2.49,              4.46,   23.99,   98.45,   86.04,    0.89,    1.40
4.03161,9.21461,2021,01,02,    2.82,    1.13,    1.87,    2.52,   29.32,   18.78,    3.96,    0.01,   26.47,    1.28,   24.79,    2.41,              5.01,   23.77,   98.47,   85.04,    1.15,    1.33
4.03161,9.21461,2021,01,03,    3.02,    0.61,    1.62,    2.17,   28.16,   18.53,    3.73,    0.01,   26.05,    1.70,   24.69,    2.31,              4.99,   23.55,   98.47,   86.02,    0.71,    1.17
4.03161,9.21461,2021,01,04,    4.22,    0.07,    1.38,    1.89,   29.79,   18.36,    4.25,    0.01,   26.50,    2.61,   24.51,    2.67,              4.94,   23.40,   98.37,   82.89,    0.04,    0.97
4.03161,9.21461,2021,01,05,    3.26,    0.62,    1.87,    2.52,   28.69,   18.90,    4.03,    0.01,   26.24,    1.87,   24.60,    2.50,              5.17,   23.85,   98.33,   86.60,    0.77,    1.37
4.03161,9.21461,2021,01,06,    4.26,    0.09,    1.53,    2.16,   29.29,   18.95,    4.30,    2.16,   26.55,    2.53,   25.03,    2.61,              3.76,   23.90,   98.36,   85.29,    0.04,    1.10
4.03161,9.21461,2021,01,07,    4.10,    0.56,    1.81,    2.40,   28.53,   18.78,    4.48,    2.50,   26.12,    2.61,   24.69,    3.17,              4.33,   23.75,   98.42,   86.75,    0.38,    1.33
4.03161,9.21461,2021,01,08,    4.17,    0.91,    2.07,    2.75,   29.55,   18.35,    5.06,    1.93,   26.32,    2.60,   24.50,    3.51,              4.64,   23.41,   98.48,   83.85,    0.89,    1.51
4.03161,9.21461,2021,01,09,    3.69,    0.62,    1.85,    2.49,   30.02,   18.09,    4.48,    1.06,   26.43,    2.40,   24.29,    3.03,              4.79,   23.18,   98.43,   82.13,    0.79,    1.32
4.03161,9.21461,2021,01,10,    3.67,    0.90,    1.85,    2.46,   30.22,   18.07,    4.56,    2.53,   26.44,    2.05,   24.16,    2.95,-999,   23.14,   98.36,   81.89,    0.89,    1.34
4.03161,9.21461,2021,01,11,    4.38,    0.54,    1.89,    2.54,   30.61,   17.82,    4.77,    0.08,   26.58,    2.62,   24.19,    3.16,              4.99,   22.93,   98.35,   80.13,    0.39,    1.38
4.03161,9.21461,2021,01,12,    2.75,    1.63,    2.30,    3.08,   30.08,   17.94,    4.62,    0.06,   26.42,    1.41,   24.24,    3.03,              5.38,   23.04,   98.46,   81.46,    1.87,    1.64
4.03161,9.21461,2021,01,13,    3.45,    1.16,    2.21,    2.97,   29.75,   17.63,    4.74,    0.05,   26.17,    2.07,   24.01,    3.22,              5.25,   22.78,   98.54,   81.35,    1.28,    1.60
4.03161,9.21461,2021,01,14,    2.62,    1.28,    2.22,    2.98,   29.36,   17.50,    4.27,    0.06,   26.14,    1.72,   24.22,    3.00,              5.24,   22.65,   98.53,   80.89,    1.65,    1.61
4.03161,9.21461,2021,01,15,    3.90,    0.12,    1.39,    1.85,   30.26,   17.09,    4.06,    0.02,   26.41,    2.48,   24.06,    2.60,              5.47,   22.28,   98.44,   77.69,    0.16,    1.00
4.03161,9.21461,2021,01,16,    3.81,    0.17,    1.50,    1.97,   30.25,   17.22,    4.04,    0.00,   26.40,    2.42,   24.21,    2.59,              5.16,   22.39,   98.35,   78.28,    0.23,    1.09
4.03161,9.21461,2021,01,17,    4.27,    0.12,    1.39,    1.88,   30.36,   17.17,    4.41,    0.00,   26.48,    2.63,   24.08,    2.75,              5.20,   22.34,   98.38,   77.67,    0.14,    1.00
4.03161,9.21461,2021,01,18,    5.14,    0.33,    1.86,    2.50,   30.73,   17.44,    5.27,    0.00,   26.82,    3.14,   24.32,    3.47,              5.26,   22.61,   98.40,   77.39,    0.13,    1.34
4.03161,9.21461,2021,01,19,    2.92,    0.98,    2.05,    2.73,   29.30,   17.97,    4.16,    0.00,   26.24,    1.89,   24.47,    2.87,              5.44,   23.06,   98.46,   82.50,    1.24,    1.48
4.03161,9.21461,2021,01,20,    4.06,    0.31,    1.52,    2.01,   30.93,   17.32,    4.38,    0.00,   26.75,    2.46,   24.24,    2.78,              5.38,   22.50,   98.43,   77.14,    0.31,    1.10
4.03161,9.21461,2021,01,21,    4.26,    0.16,    1.44,    1.98,   30.71,   16.90,    4.36,    0.00,   26.79,    2.61,   24.68,    2.77,              5.32,   22.12,   98.47,   75.16,    0.11,    1.03
4.03161,9.21461,2021,01,22,    4.01,    0.79,    1.93,    2.63,   30.77,   17.62,    4.98,    0.00,   26.92,    2.32,   24.66,    3.11,              5.53,   22.78,   98.45,   77.73,    0.97,    1.38
4.03161,9.21461,2021,01,23,    3.22,    1.05,    2.03,    2.81,   30.29,   16.73,    4.18,    0.00,   26.31,    1.71,   23.43,    2.76,              5.68,   21.94,   98.44,   76.53,    0.96,    1.42
4.03161,9.21461,2021,01,24,    4.10,    0.98,    1.89,    2.54,   30.74,   17.23,    5.01,    0.00,   26.59,    2.19,   24.06,    3.16,              5.74,   22.41,   98.41,   77.47,    0.91,    1.36
4.03161,9.21461,2021,01,25,    4.81,    0.21,    1.60,    2.25,   31.01,   17.51,    5.13,    0.00,   26.97,    3.09,   24.73,    3.30,              5.36,   22.68,   98.42,   76.98,    0.32,    1.15
4.03161,9.21461,2021,01,26,    4.73,    0.43,    1.81,    2.48,   30.44,   17.96,    4.95,    0.14,   26.64,    2.76,   24.22,    3.19,-999,   23.07,   98.43,   80.53,    0.21,    1.31
4.03161,9.21461,2021,01,27,    3.44,    0.81,    2.18,    2.96,   29.43,   18.26,    4.49,    0.29,   26.44,    2.55,   24.65,    3.36,              5.41,   23.32,   98.39,   82.79,    1.05,    1.58
4.03161,9.21461,2021,01,28,    3.74,    0.48,    1.88,    2.63,   28.64,   18.30,    4.19,    0.27,   26.20,    2.12,   24.82,    2.61,              5.28,   23.35,   98.44,   84.17,    0.45,    1.33
4.03161,9.21461,2021,01,29,    3.66,    1.13,    1.98,    2.70,   28.85,   18.17,    5.10,    0.21,   26.18,    2.25,   24.64,    3.38,              5.41,   23.24,   98.48,   83.75,    1.44,    1.45
4.03161,9.21461,2021,01,30,    3.33,    0.88,    1.92,    2.53,   29.61,   17.94,    4.48,    0.14,   26.41,    2.13,   24.43,    3.01,              5.54,   23.04,   98.43,   81.50,    1.14,    1.41
4.03161,9.21461,2021,01,31,    2.63,    1.88,    2.48,    3.40,   29.21,   18.06,    4.87,    0.02,   26.41,    1.21,   24.42,    3.09,              5.40,   23.15,   98.42,   82.07,    2.24,    1.79
4.03161,9.21461,2021,02,01,    2.40,    1.87,    2.42,    3.40,   29.63,   17.90,    4.59,    0.01,   26.58,    0.94,   24.61,    2.81,              4.77,   23.03,   98.50,   80.58,    2.19,    1.72
4.03161,9.21461,2021,02,02,    4.56,    0.47,    1.98,    2.71,   31.68,   17.69,    4.77,    0.01,   27.32,    2.74,   24.64,    3.22,              5.41,   22.87,   98.52,   76.27,    0.21,    1.40
4.03161,9.21461,2021,02,03,    2.26,    1.20,    1.99,    2.66,   29.40,   18.33,    3.84,    0.02,   26.66,    1.45,   24.69,    2.65,              5.23,   23.40,   98.53,   82.14,    1.58,    1.42
4.03161,9.21461,2021,02,04,    3.39,    0.70,    1.69,    2.24,   29.52,   18.49,    4.20,    0.01,   26.80,    1.85,   25.05,    2.54,              5.61,   23.54,   98.46,   82.13,    0.81,    1.24
4.03161,9.21461,2021,02,05,    4.58,    0.66,    2.02,    2.69,   31.20,   17.95,    5.23,    0.01,   27.23,    2.76,   24.91,    3.42,              5.37,   23.09,   98.48,   77.78,    0.65,    1.47
4.03161,9.21461,2021,02,06,    2.57,    2.11,    2.56,    3.55,   30.94,   18.06,    4.92,    0.01,   27.11,    0.95,   24.69,    3.06,              5.74,   23.18,   98.46,   78.77,    2.35,    1.83
4.03161,9.21461,2021,02,07,    3.22,    1.52,    2.21,    2.98,   31.02,   17.26,    5.05,    0.00,   26.94,    1.77,   24.61,    3.29,              5.49,   22.44,   98.38,   76.02,    1.83,    1.58
4.03161,9.21461,2021,02,08,    3.84,    0.58,    1.92,    2.51,   31.18,   17.72,    4.24,    0.00,   27.23,    2.33,   24.77,    2.91,              5.23,   22.86,   98.32,   76.66,    0.39,    1.41
4.03161,9.21461,2021,02,09,    4.82,    0.08,    1.89,    2.64,   32.48,   17.62,    4.90,    0.01,   27.85,    3.16,   25.05,    3.24,              5.27,   22.80,   98.36,   73.55,    0.08,    1.35
4.03161,9.21461,2021,02,10,    4.10,    0.73,    1.83,    2.43,   32.33,   17.88,    4.88,    0.46,   27.96,    2.53,   25.09,    3.26,              5.40,   23.04,   98.39,   74.16,    0.79,    1.33
4.03161,9.21461,2021,02,11,    4.67,    0.45,    2.09,    2.68,   32.19,   18.51,    5.24,    1.05,   27.96,    3.42,   25.38,    3.86,-999,   23.59,   98.37,   76.76,    0.57,    1.55
4.03161,9.21461,2021,02,12,    3.04,    1.77,    2.63,    3.50,   31.60,   18.70,    5.21,    0.95,   27.78,    2.05,   25.50,    3.82,              5.67,   23.73,   98.35,   78.28,    2.17,    1.92
4.03161,9.21461,2021,02,13,    1.82,    1.42,    1.86,    2.49,   29.59,   18.80,    3.48,    1.09,   27.06,    0.85,   25.39,    2.28,              5.71,   23.79,   98.32,   82.07,    1.66,    1.34
4.03161,9.21461,2021,02,14,    3.13,    1.11,    1.84,    2.49,   29.29,   18.65,    4.27,    0.67,   26.74,    1.51,   25.06,    2.62,              5.39,   23.64,   98.30,   82.94,    1.14,    1.32
4.03161,9.21461,2021,02,15,    3.03,    1.17,    2.03,    2.73,   30.26,   18.20,    4.23,    0.41,   27.06,    1.71,   25.15,    2.88,              4.66,   23.28,   98.32,   79.49,    1.20,    1.44
4.03161,9.21461,2021,02,16,    3.72,    1.18,    2.00,    2.62,   31.72,   18.02,    5.12,    0.23,   27.63,    2.23,   25.04,    3.40,              5.33,   23.13,   98.27,   76.09,    1.40,    1.48
4.03161,9.21461,2021,02,17,    3.95,    0.48,    1.86,    2.55,   31.08,   17.30,    4.52,    0.17,   27.17,    2.44,   25.06,    2.92,              5.31,   22.48,   98.34,   75.14,    0.57,    1.32
4.03161,9.21461,2021,02,18,    3.92,    0.60,    2.02,    2.55,   31.24,   16.90,    4.48,    0.09,   27.23,    2.77,   24.85,    3.37,              5.24,   22.14,   98.49,   73.30,    0.55,    1.50
4.03161,9.21461,2021,02,19,    3.99,    0.20,    1.85,    2.43,   31.87,   16.22,    4.18,    0.09,   27.30,    2.98,   23.85,    3.18,              5.20,   21.51,   98.59,   70.14,    0.19,    1.34
4.03161,9.21461,2021,02,20,    4.09,    0.26,    2.07,    2.74,   31.54,   16.84,    4.27,    0.07,   27.49,    3.00,   24.61,    3.26,              5.38,   22.11,   98.63,   72.02,    0.18,    1.49
4.03161,9.21461,2021,02,21,    4.06,    0.29,    1.84,    2.55,   30.06,   17.17,    4.37,    0.14,   26.85,    2.59,   24.89,    2.88,              5.47,   22.39,   98.54,   76.14,    0.31,    1.32
4.03161,9.21461,2021,02,22,    3.96,    0.86,    2.04,    2.72,   31.45,   17.09,    4.72,    0.04,   27.29,    2.48,   24.92,    3.34,              4.25,   22.32,   98.48,   73.81,    0.76,    1.49
4.03161,9.21461,2021,02,23,    2.77,    1.21,    1.89,    2.57,   30.63,   17.08,    4.06,    0.06,   27.04,    1.66,   24.76,    2.87,              4.50,   22.31,   98.54,   74.88,    1.29,    1.37
4.03161,9.21461,2021,02,24,    2.13,    1.86,    2.36,    3.23,   31.00,   16.97,    4.77,    0.06,   27.18,    1.28,   24.37,    3.14,              5.51,   22.20,   98.50,   73.80,    2.64,    1.70
4.03161,9.21461,2021,02,25,    2.63,    1.77,    2.97,    3.96,   29.47,   17.80,    5.11,    0.49,   26.67,    2.28,   24.76,    4.05,              4.77,   22.93,   98.44,   79.70,    2.48,    2.15
4.03161,9.21461,2021,02,26,    2.40,    2.03,    2.39,    3.36,   29.52,   17.86,    4.60,    1.83,   26.71,    0.82,   24.88,    2.85,              5.09,   22.98,   98.42,   79.75,    2.19,    1.73
4.03161,9.21461,2021,02,27,    3.44,    0.91,    1.88,    2.55,   31.18,   17.83,    4.21,    1.11,   27.23,    1.98,   24.84,    2.90,-999,   22.96,   98.34,   77.13,    0.77,    1.36
4.03161,9.21461,2021,02,28,    4.41,    0.80,    1.92,    2.37,   31.95,   18.07,    5.28,    0.48,   27.53,    3.15,   24.95,    3.95,              5.50,   23.16,   98.21,   76.69,    0.87,    1.43
4.03161,9.21461,2021,03,01,    3.15,    1.66,    2.63,    3.37,   31.00,   18.68,    5.43,    1.43,   27.43,    2.49,   25.31,    4.15,              5.94,   23.68,   98.20,   79.70,    2.28,    1.92
4.03161,9.21461,2021,03,02,    2.49,    1.86,    2.54,    3.38,   31.39,   18.71,    4.96,    0.07,   27.77,    1.60,   25.49,    3.46,              5.56,   23.73,   98.25,   78.31,    2.47,    1.87
